,date,holiday
1,March 21,Human Rights Day
2,April 19,Good Friday
3,April 22,Family Day
4,April 27,Freedom Day
5,May 01,Labour Day
6,June 17,Youth Day
7,August 09,National Women's Day
8,September 24,Heritage Day
9,December 16,Day of Reconciliation
10,December 25,Christmas Day
11,December 26,Day of Good Will
