,date,holiday
1,January 01  Jan 1,New Year's Day
2,March 21  Mar 21,Human Rights Day
3,March 30  Mar 30,Good Friday
4,April 02  Apr 2,Family Day
5,April 27  Apr 27,Freedom Day
6,May 01  May 1,Labour Day
7,June 16  Jun 16,Youth Day
8,August 09  Aug 9,National Womens Day
9,September 24  Sep 24,Heritage Day
10,December 16  Dec 16,Day of Reconciliation
11,December 17  Dec 17,Public Holiday
12,December 25  Dec 25,Christmas Day
13,December 26  Dec 26,Day of Good Will
